,Species,eBird Link,Info
68,Bluethroat,/species/blueth/IN-PB-SH,"Beautiful thrush-like bird that tends to stay hidden. Dull gray above, but a head-on view reveals a stunning pattern of electric blue and orange on the throat (some variation in pattern across range). Females show fainter colors than males, sometimes lacking blue entirely, but are still very boldly patterned. On the dullest young females, look for bold white eyebrow and throat, necklace of dark streaks, and rufous on the base of the tail. Variable song includes imitations of other species among a jumble of trills, whistles, and chirps. Typically found in scrubby, brushy habitat, often in edge areas: reedbeds, overgrown fields, and thickets. Usually skulky but singing males can perch conspicuously atop a bush. Breeds across Europe and Asia into Alaska; winters from northern Africa to southeast Asia."
69,Pied Bushchat,/species/piebus1/IN-PB-SH,"A sedentary “chat” associated with open habitats in tropical and subtropical Asia. Males are black with a white vent and a white wing patch. Females are dark brown with a reddish-brown rump and underparts. Females can resemble the migratory Siberian Stonechat, but can be separated by the absence of an eyebrow and of any white on the collar or wing. Rather conspicuous; it may use and sing from any open perch unlike more discerning stonechats. Calls include a rising “whee” and hard, decisive “chruk.”"
70,Common Redshank,/species/comred1/IN-PB-SH,"Stocky brown wader with bright red legs; compare with slenderer, far more gracile Spotted Redshank in juvenile and non-breeding plumage. Often rather wary, alerting other birds with its loud, fluty, whistled calls. Bobs tail when nervous, and then flies to show flashy white trailing edge to wings, white rump patch. Feeds in muddy shallows, probing and picking with its bill. Inhabits fresh and coastal wetlands; also breeds on moorland, usually near water."
71,Eurasian Kestrel,/species/eurkes/IN-PB-SH,"Small falcon with distinctive male plumage: gray head, rusty back, gray tail with broad black tip. Female is brownish above, with barring on the back, wings, and tail. Note rather pointed wingtips (unlike rounded wings of Accipiter hawks), and distinct dark spotting on the breast. Inhabits open and lightly wooded country, farmlands, grasslands, and heathlands; often seen over grassy areas beside roads and at airports. Perches on wires and posts, and typically hunts by hovering, at times fairly high overhead. Very similar to Lesser Kestrel."
72,Ashy Prinia,/species/ashpri1/IN-PB-SH,"A common prinia that is likely to occur in all habitats except for woodlands with a thick canopy. All birds have a black bill, pale cinnamon underparts, a gray head, and a grayish-brown back. Nonbreeding birds acquire a short eyebrow and a longer tail. There is a marked variation in plumage tones in various parts of its range. It usually sticks to the undergrowth and shrubbery, though individuals often sing from a higher perch such as wires. Usually occurring in ones and twos, and it can be quite bold and fearless. It has a loud ringing song that is given year-round and a plain nasal call."
73,Indian Silverbill,/species/indsil/IN-PB-SH,"Small, long-tailed finch with a chunky body and short, stout bill. Gray-brown above and pale below with a whitish rump and black-pointed tail. Highly sociable throughout the year. Found in semidesert, scrub, and dry woodland but also proliferates in urban areas. Distribution is centered on the Indian subcontinent, but it is a popular cage bird and feral populations are widespread. Gives sharp “tsik” and “tseet” calls."
74,Western Yellow Wagtail,/species/eaywag1/IN-PB-SH,"Widespread wagtail, favoring wet meadows, marshland, grassy and muddy lakeshores. Occurs in fields and often near livestock during migration. Like other wagtails, walks on ground and pumps its long, white-sided tail up and down. Plumage highly variable, but breeding male wholly bright yellow below, with greenish back. Male head pattern varies regionally: in U.K. has greenish head with yellow eyebrow; in northern Europe head slaty gray overall; in central and southwest Europe head blue-gray with white eyebrow; striking white-headed birds in Mongolia and northwestern China. Individuals of several subspecies may winter together. Female and nonbreeding plumages drabber and paler, with ghosting of male patterns. Songs and calls vary between subspecies, but most give some form of buzzy “dzeerdzeer” or downslurrd “tzree.”"
75,White Wagtail,/species/whiwag/IN-PB-SH,"Distinctive but variable: all plumages are some bold combination of black, white, and gray. Shows considerable variation in plumage across the world, but never has a clear, thin and contrasting eye-brow like White-browed or Japanese Wagtail. Occurs in varied open habitats, from wild grassy areas and wetlands to paved car parks and grassy lawns. Usually seen as singles, pairs, or small groups walking and running around, pumping the long, white-sided tail up and down. Identified easily in flight by its loud, thick and distinctive “tsee-tsee’ call."
76,Indian Roller,/species/indrol2/IN-PB-SH,"A brightly colored bird with various shades of blue on the wings, tails, and belly that are often more prominent in flight. Note the longitudinal white streaks on the throat and breast. Indochinese Roller has a purple-blue breast, a darker olive back, and is generally darker blue. Generally silent, but more vocal in breeding season with harsh calls. Prefers open areas, including agricultural landscapes, sitting on exposed perches including electric wires, occasionally pumping its tail slowly. Practically a resident roller with some movements in the western parts of its range."
77,White-throated Fantail,/species/whtfan1/IN-PB-SH,"A distinctive fantail, all dark except for a white throat and a short white eyebrow. The tail, often fanned, is a shade darker with white tips to all tail feathers except the central pair. Juvenile is like adult, but with reduced white on face and brownish edges to the dark body feathers. Gives very harsh contact calls. Song is a musical phrase of 6-7 notes that ascends first and then descends. Found in a wide range of wooded habitats, from dense forest to forest edge and gardens, from lowlands up into the mountains."
78,Cinereous Tit,/species/gretit2/IN-PB-SH,"An uncrested gray, black, and off-white tit of light woodlands. Males and females have a white cheek patch, a gray back, and a white wingbar. A broad black central line, that is widest on throat, runs from the throat to the lower belly. The female has a narrower central line on its underparts and is slightly duller overall. Sings variations of a three noted “swee-che-ti” or a “sewe-pewe” repeated 4-5 times at length. Calls include small chatters. Very active; feeds at the middle and upper-strata of forests and woodlands and in gardens and cultivated areas, but avoids dense forests."
79,Red-breasted Flycatcher,/species/rebfly/IN-PB-SH,"Distinctive, small flycatcher. Males have a rusty-orange throat that continues onto the breast. All plumages have a distinctive tail pattern with black terminal bar and white sides. Wings relatively plain and white eyering noticeable. When perched, tail is often held cocked with wingtips drooping. Compare with the very similar Taiga Flycatcher; note the more extensive orange throat in breeding male, warmer overall coloration, and more extensive pale pinkish on the bill base. Breeds in mature deciduous mixed forest, winters in forest, woodland and parks. Song is a series of bland and repetitive but sweet whistles, often with a few fuzzy notes as an intro. Often detected by a rattling ""zrrrt"" call, slower than that of Taiga Flycatcher."
